name,cutoff_point,affiliation,latitude,longitude
Nanyang Girls' High School,264,1,1.33068757,103.8023854
Methodist Girls' School,260,1,1.33286306,103.78336340000001
Raffles Girls' School,260,1,1.2950138340000001,103.8500025
Hwa Chong Institution,258,1,1.325888675,103.8007472
Raffles Institution,257,1,1.3462813519999999,103.8425468
Anglo-Chinese School,256,1,1.31915766,103.83451600000001
CHIJ Saint Nicholas Girls' School,256,1,1.3737296730000002,103.83430890000001
National Junior College,256,1,1.330429928,103.80445870000001
Dunman High School,255,1,1.2991253040000001,103.8828617
Cedar Girls' Secondary School,254,1,1.334527365,103.873791
Methodist Girls' School,254,0,1.33286306,103.78336340000001
Catholic High School,253,1,1.3547888769999998,103.84493409999999
CHIJ Saint Nicholas Girls' School,253,0,1.3737296730000002,103.83430890000001
Saint Joseph's Institution,253,1,1.323655609,103.82856650000001
Singapore Chinese Girls' School,252,1,1.321116435,103.8280244
Victoria School,252,1,1.3083080390000001,103.9281975
Catholic High School,250,0,1.3547888769999998,103.84493409999999
Paya Lebar Methodist Girls' School,250,0,1.349841864,103.88497840000001
River Valley High School,250,1,1.344093269,103.7091827
Singapore Chinese Girls' School,250,0,1.321116435,103.8280244
Anglo-Chinese School,249,0,1.31915766,103.83451600000001
Cedar Girls' Secondary School,249,0,1.334527365,103.873791
Temasek Junior College,249,1,1.318461906,103.935598
Victoria School,246,0,1.3083080390000001,103.9281975
Anderson Secondary School,245,0,1.374242189,103.85143000000001
Bukit Panjang Government High School,244,0,1.3821367219999998,103.7381344
Saint Joseph's Institution,244,0,1.323655609,103.82856650000001
CHIJ Secondary,243,0,1.33246213,103.84271940000001
Nan Chiau High School,243,0,1.388687442,103.8902862
Nan Hua High School,243,0,1.308141211,103.76901540000001
Chung Cheng High School,242,0,1.3053811309999999,103.8907366
Crescent Girls' School,241,0,1.293305114,103.8176348
Fairfield Methodist School,241,0,1.301920884,103.7843681
Saint Margaret's Secondary School,241,0,1.319774641,103.8096022
Anglo-Chinese School,240,0,1.31915766,103.83451600000001
Swiss Cottage Secondary School,239,0,1.3643339069999998,103.75067370000001
Anglican High School,238,0,1.330351821,103.94163490000001
Chung Cheng High School,238,0,1.3053811309999999,103.8907366
Commonwealth Secondary School,237,0,1.3191280779999999,103.7457555
Ngee Ann Secondary School,237,0,1.354398239,103.9567447
CHIJ Saint Theresa's Convent,235,0,1.276029248,103.8223439
Maris Stella High School,235,0,1.3421839569999998,103.8780964
Yishun Town Secondary School,235,0,1.432604239,103.83801170000001
Saint Andrew's Secondary School,234,0,1.3309902740000001,103.86594609999999
Zhonghua Secondary School,234,0,1.3490973609999999,103.8698
Xinmin Secondary School,233,0,1.3726428999999998,103.8830505
CHIJ Saint Joseph's Convent,232,0,1.3917809909999999,103.90257740000001
Fuhua Secondary School,232,0,1.3468798969999998,103.7267597
Kuo Chuan Presbyterian Secondary School,232,0,1.350109648,103.8548917
Presbyterian High School,232,0,1.3827654459999998,103.84293100000001
Clementi Town Secondary School,231,0,1.315474974,103.7620787
Tanjong Katong Girls' School,231,0,1.3072912270000001,103.896294
Tanjong Katong Secondary School,231,0,1.3085833740000001,103.89733009999999
Temasek Secondary School,231,0,1.315770985,103.9471475
Riverside Secondary School,230,0,1.441077949,103.7883135
Dunman Secondary School,229,0,1.36054751,103.9562073
Kranji Secondary School,229,0,1.390040388,103.74109109999999
Holy Innocents' High School,228,0,1.371215065,103.8960266
Edgefield Secondary School,226,0,1.400179295,103.9021412
CHIJ Katong Convent,225,0,1.3065972240000001,103.9177542
Saint Patrick's School,225,0,1.307678422,103.9167622
Ang Mo Kio Secondary School,224,0,1.367359004,103.84260040000001
Bowen Secondary School,224,0,1.370751073,103.877459
Evergreen Secondary School,224,0,1.4412208380000002,103.79377149999999
Geylang Methodist School,224,0,1.317658971,103.8825037
Jurong Secondary School,224,0,1.3301473540000002,103.7240997
Bukit Batok Secondary School,223,0,1.348351215,103.74087340000001
Gan Eng Seng School,223,0,1.289071145,103.8237337
Saint Anthony's Canossian Secondary School,223,0,1.334961214,103.9416688
Saint Gabriel's Secondary School,222,0,1.346644168,103.87573420000001
Hua Yi Secondary School,221,0,1.3523562969999998,103.7217266
Saint Hilda's Secondary School,221,0,1.3503757669999998,103.9366547
Hai Sing Catholic School,220,0,1.3746382030000002,103.9547513
West Spring Secondary School,220,0,1.387804339,103.7601475
Mayflower Secondary School,219,0,1.3683372459999998,103.8354387
Pei Hwa Secondary School,219,0,1.3903804569999998,103.87859350000001
Ahmad Ibrahim Secondary School,218,0,1.436235146,103.8299865
Pasir Ris Secondary School,216,0,1.354639566,103.9486147
Deyi Secondary School,215,0,1.3673474209999998,103.85193609999999
Pasir Ris Crest Secondary School,215,0,1.3723439080000002,103.95936259999999
Queensway Secondary School,214,0,1.300475167,103.80172359999999
Bedok View Secondary School,212,0,1.323999396,103.9434752
Unity Secondary School,212,0,1.3996424680000001,103.7460361
Beatty Secondary School,211,0,1.341790511,103.85206490000002
Chua Chu Kang Secondary School,211,0,1.3832748380000002,103.7520245
Woodlands Ring Secondary School,211,0,1.4361136780000001,103.80052049999999
Compassvale Secondary School,210,0,1.396217575,103.8998722
Meridian Secondary School,208,0,1.3671073519999999,103.9492736
North Vista Secondary School,208,0,1.381252014,103.8989269
Orchid Park Secondary School,208,0,1.4148881869999999,103.8383349
Peirce Secondary School,208,0,1.366131676,103.8299104
Yuan Ching Secondary School,208,0,1.3418918709999998,103.7206308
Bedok South Secondary School,207,0,1.325653417,103.9506212
Kent Ridge Secondary School,206,0,1.301352887,103.7649275
Zhenghua Secondary School,206,0,1.388197023,103.76525229999999
Bukit View Secondary School,205,0,1.3457231509999998,103.75227779999999
Hillgrove Secondary School,205,0,1.352735494,103.75305240000002
Montfort Secondary School,204,0,1.3739506780000001,103.8888598
Woodgrove Secondary School,204,0,1.428628315,103.796304
Greendale Secondary School,203,0,1.3972808,103.9115758
Tampines Secondary School,203,0,1.349434801,103.9439891
Christ Church Secondary School,201,0,1.426447681,103.7933819
Yishun Secondary School,200,0,1.4281320119999998,103.82881479999999
Jurong West Secondary School,199,0,1.335256345,103.70209809999999
Seng Kang Secondary School,199,0,1.38609933,103.89839309999999
Westwood Secondary School,198,0,1.353526135,103.7016043
