coordinates,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive
"(1.362004539, 103.85387990000001)",25.17,35.18,47.6,21.13,46.2,18.8,26.2,29.93,15.25,32.25
"(1.370966352, 103.83820190000002)",31.97,42.38,61.63,27.93,53.0,20.25,24.3,28.03,16.72,33.72
"(1.38070883, 103.8353682)",33.15,44.85,64.58,29.12,61.28,23.13,27.08,30.82,19.63,36.63
"(1.3662010409999998, 103.857201)",28.65,35.95,48.1,24.62,46.57,18.25,25.7,29.43,14.72,31.7
"(1.381041355, 103.8351317)",33.8,45.5,65.23,29.77,60.55,23.17,27.12,30.85,18.77,35.32
"(1.376806785, 103.84201800000001)",34.72,40.47,52.88,30.68,55.97,21.82,26.23,29.97,16.58,33.58
"(1.3674790140000002, 103.8559671)",28.33,38.02,50.17,24.3,48.63,18.77,25.6,29.33,15.23,32.23
"(1.365119086, 103.84174250000001)",28.07,38.8,50.95,24.03,49.42,18.83,22.65,26.38,15.28,32.28
"(1.3700550130000002, 103.8548806)",27.18,37.6,54.23,23.15,57.9,17.78,26.07,29.57,14.23,31.23
"(1.3740584630000001, 103.8541682)",32.2,42.23,59.65,28.17,53.6,18.8,27.1,30.58,15.35,32.35
"(1.36754925, 103.8367406)",32.02,41.35,58.33,27.98,53.05,19.57,23.38,27.12,16.0,33.02
"(1.366823609, 103.8364912)",31.1,40.43,57.42,27.07,52.13,19.15,22.97,26.7,15.23,32.25
"(1.36598198, 103.840654)",29.92,39.25,56.23,25.88,50.95,18.98,22.8,26.53,15.43,32.43
"(1.374827955, 103.853721)",30.48,42.75,56.0,26.45,53.37,21.4,27.25,30.98,17.83,34.83
"(1.3688544519999999, 103.8378964)",32.07,41.3,61.73,28.03,53.0,20.03,23.85,27.58,16.47,33.48
"(1.369743586, 103.85602309999999)",27.93,37.5,54.98,23.9,56.18,16.57,24.28,28.22,13.03,30.02
"(1.3815617119999999, 103.8400023)",32.5,42.92,58.62,28.47,58.55,22.5,27.07,30.8,18.95,35.95
"(1.3660502780000001, 103.8541683)",28.47,38.48,50.9,24.43,55.83,17.87,24.12,27.85,14.33,31.33
"(1.382200246, 103.8412103)",31.32,41.73,57.87,27.28,61.7,22.72,27.17,30.9,19.18,36.02
"(1.369563443, 103.84469890000001)",28.18,37.5,49.65,24.15,51.87,20.95,25.0,28.73,17.4,34.4
"(1.370654871, 103.8346302)",31.23,41.65,60.9,27.2,61.62,20.93,24.73,28.47,17.42,34.43
"(1.36830997, 103.8536003)",27.47,37.88,56.12,23.43,57.85,18.53,25.68,29.42,15.08,32.08
"(1.3691969659999998, 103.8416666)",26.27,36.68,58.87,22.23,58.47,18.98,23.03,26.77,15.43,32.43
"(1.37071308, 103.8534978)",26.5,36.92,55.15,22.47,47.53,17.6,25.88,29.38,14.05,31.05
"(1.3732959359999999, 103.8354757)",31.92,42.33,63.67,27.88,58.38,21.78,25.6,29.33,18.23,35.25
"(1.3613425559999999, 103.85169859999999)",26.1,33.4,45.55,22.07,44.02,15.38,21.75,25.48,11.85,28.85
"(1.370615176, 103.8359677)",32.4,42.82,61.78,28.37,53.43,20.95,24.77,28.5,16.8,33.8
"(1.3624318640000002, 103.85103070000001)",27.03,34.33,46.48,23.0,44.95,16.98,23.22,26.95,13.45,30.43
"(1.3716257019999998, 103.8577361)",35.07,42.7,55.95,31.03,65.45,18.07,26.35,29.85,14.52,31.52
"(1.3670898319999998, 103.84566020000001)",28.6,35.27,47.42,24.57,49.63,18.95,23.07,26.8,15.4,32.4
"(1.371388551, 103.8559533)",30.82,41.85,60.08,26.78,58.67,18.6,26.9,30.38,15.07,32.05
"(1.374000865, 103.8501398)",27.4,37.82,57.85,23.37,53.08,20.47,27.48,31.22,16.93,33.92
"(1.3631439269999999, 103.8581186)",30.77,38.07,50.22,26.73,48.68,17.1,24.5,28.23,13.68,30.68
"(1.3626629780000001, 103.8565159)",27.4,34.7,46.85,23.37,45.32,16.5,23.9,27.63,12.95,29.95
"(1.38010475, 103.84040870000001)",32.92,43.33,59.48,28.88,58.45,22.15,26.73,30.47,18.62,35.6
"(1.373651239, 103.8570222)",34.77,45.03,66.2,30.73,53.72,18.62,26.9,30.4,15.07,32.07
"(1.371015364, 103.8418003)",28.82,39.23,61.6,24.78,59.2,19.55,23.6,27.33,16.0,33.0
"(1.37020344, 103.8346877)",32.27,42.68,61.93,28.23,53.3,21.3,25.12,28.85,17.8,34.82
"(1.3640980790000001, 103.8566942)",29.33,36.63,48.78,25.3,47.25,18.15,25.57,29.3,13.28,30.28
"(1.366947935, 103.8574876)",29.72,37.02,49.17,25.68,47.63,18.47,25.92,29.65,14.92,31.92
"(1.365820895, 103.8428478)",25.62,34.57,46.72,21.58,48.93,19.52,23.15,26.88,15.78,32.97
"(1.3662864280000002, 103.8449948)",28.83,33.25,51.4,24.8,46.75,19.23,23.62,27.35,15.68,32.68
"(1.379395177, 103.84376359999999)",26.83,37.25,53.75,22.8,57.22,21.2,25.77,29.5,17.2,34.2
"(1.3666179369999998, 103.84786690000001)",30.4,40.77,54.02,26.37,54.5,19.53,23.67,27.4,16.0,32.98
"(1.37183157, 103.85367099999999)",28.9,39.32,55.95,24.87,56.43,17.95,26.25,29.73,16.1,33.1
"(1.3717540069999998, 103.85388329999999)",28.55,38.97,55.6,24.52,56.08,17.85,26.13,29.63,16.1,33.08
"(1.370261584, 103.8394679)",28.92,39.33,56.7,24.88,54.62,20.17,24.22,27.95,16.68,33.67
"(1.368992878, 103.8527613)",25.57,35.98,52.88,21.53,55.95,19.23,26.38,30.12,15.7,32.68
"(1.373405406, 103.8511342)",29.15,39.57,58.52,25.12,54.77,20.05,27.52,31.25,15.43,32.43
"(1.371477831, 103.84586879999999)",25.38,34.78,46.93,21.35,49.15,19.67,23.72,27.45,15.18,32.17
"(1.3720768890000001, 103.85278609999999)",30.45,40.87,59.63,26.42,61.37,18.75,27.05,30.53,15.63,32.63
"(1.364827262, 103.8438393)",28.47,34.4,46.55,24.43,47.75,17.17,21.92,25.65,14.62,31.62
"(1.378135921, 103.838826)",34.45,44.87,61.95,30.42,56.38,21.47,25.88,29.62,17.93,34.93
"(1.3344846670000001, 103.9379247)",32.12,54.52,69.63,43.37,22.0,22.85,30.77,32.93,19.3,16.88
"(1.331310218, 103.92685390000001)",25.38,48.0,61.62,38.67,20.82,21.62,29.53,31.7,18.08,18.58
"(1.327914779, 103.9421444)",31.5,54.37,66.28,40.48,15.55,22.87,32.23,34.38,20.75,16.95
"(1.33269318, 103.92661740000001)",25.28,47.9,59.47,38.57,20.72,21.27,29.18,31.35,17.72,18.23
"(1.320852087, 103.93372109999999)",30.75,55.23,67.28,39.63,20.7,19.28,30.17,33.62,20.6,16.27
"(1.335576195, 103.9115458)",29.45,49.9,63.77,42.6,26.3,20.63,28.57,30.72,16.98,21.32
"(1.329478409, 103.92110509999999)",26.27,49.13,62.35,37.52,22.78,21.17,29.1,31.25,17.57,19.43
"(1.329304314, 103.9224158)",24.6,47.47,60.68,35.85,21.12,21.37,29.28,31.45,17.82,19.68
"(1.3291443790000002, 103.9091128)",27.0,49.8,62.5,40.73,34.33,20.32,28.23,30.4,16.72,21.05
"(1.334902876, 103.9278382)",28.05,50.92,60.92,36.05,22.33,22.4,30.32,32.48,18.85,18.63
"(1.333036982, 103.92481219999999)",27.07,49.93,59.93,35.07,21.35,22.62,30.55,32.7,19.08,19.6
"(1.328696112, 103.94199559999998)",30.98,54.08,64.17,39.3,18.15,22.52,31.87,34.03,20.4,16.6
"(1.3310378459999999, 103.9086416)",30.0,49.48,65.22,41.37,31.7,18.75,26.67,28.83,15.2,19.53
"(1.317840249, 103.9293968)",28.25,52.2,62.0,37.13,22.73,18.57,29.47,32.55,18.82,15.05
"(1.326043353, 103.9264885)",25.43,48.05,59.18,34.32,20.75,22.93,31.12,33.28,19.65,20.18
"(1.32297631, 103.941467)",29.72,52.58,63.97,39.1,16.88,22.77,33.13,35.3,21.67,17.0
"(1.333722809, 103.9365177)",31.55,51.68,66.18,41.32,21.82,23.47,31.38,33.55,19.92,17.5
"(1.3354160659999998, 103.92235009999999)",35.13,58.03,66.73,48.28,28.03,23.92,31.85,34.02,20.38,19.18
"(1.327978774, 103.9258048)",22.72,45.35,57.35,32.98,18.15,20.88,28.82,30.98,17.35,18.1
"(1.326848469, 103.9190156)",28.98,53.3,62.73,37.87,22.38,21.32,30.33,32.5,19.05,20.25
"(1.321301188, 103.9332996)",29.8,54.28,68.48,38.68,21.9,19.1,29.98,33.43,19.8,15.47
"(1.3254420040000001, 103.92620759999998)",25.35,47.97,59.1,34.23,20.67,22.65,30.82,32.98,19.35,19.88
"(1.3290140879999999, 103.92881)",26.3,49.28,60.05,35.18,21.47,21.25,29.17,31.33,17.72,17.32
"(1.330654548, 103.9384963)",29.47,52.33,64.33,40.72,18.1,23.47,31.4,33.57,19.93,17.5
"(1.327976141, 103.9275651)",25.0,47.62,60.77,37.4,20.43,23.42,31.33,33.5,19.93,19.28
"(1.333580162, 103.9242187)",27.93,50.8,60.8,35.93,22.22,22.38,30.3,32.47,18.83,19.35
"(1.335769298, 103.9127796)",30.12,50.05,63.42,42.88,27.78,20.63,28.55,30.72,17.08,19.93
"(1.322600153, 103.9397927)",32.03,54.9,64.98,40.12,19.2,21.05,31.95,34.95,21.32,17.43
"(1.321478478, 103.940721)",31.77,54.63,65.88,41.02,18.93,21.15,32.05,36.28,22.65,16.67
"(1.3220565290000001, 103.9383547)",31.97,54.83,66.2,41.33,19.13,20.22,31.12,34.12,20.48,16.58
"(1.3228154429999999, 103.9354552)",30.72,55.2,71.17,39.6,26.03,20.35,31.25,34.62,20.75,17.28
"(1.32284177, 103.9360468)",31.4,54.58,68.48,40.28,21.9,20.22,31.12,34.22,20.58,16.58
"(1.32848132, 103.9406116)",28.3,51.43,65.57,39.55,15.47,22.1,31.48,33.65,20.02,16.17
"(1.327260072, 103.9408488)",31.93,54.8,68.02,41.73,15.02,23.28,32.52,34.68,20.85,16.02
"(1.333141064, 103.91252349999999)",30.87,50.35,66.03,42.23,30.95,20.67,28.6,30.77,17.13,21.47
"(1.335340885, 103.911905)",30.55,50.18,64.05,43.02,27.4,20.62,28.55,30.7,17.08,21.4
"(1.328915582, 103.9405287)",28.35,51.48,65.62,39.6,15.52,22.3,30.88,33.05,19.43,16.37
"(1.335636498, 103.9132694)",33.1,51.33,64.7,44.17,27.3,20.42,28.33,30.5,16.87,19.72
"(1.329258819, 103.93904640000001)",29.63,52.5,64.5,40.88,16.7,22.92,30.83,33.0,19.37,16.95
"(1.336608478, 103.9196138)",30.88,56.78,62.55,40.52,23.85,20.93,28.87,31.03,17.22,18.28
"(1.3326271509999998, 103.92817209999998)",27.77,50.63,60.63,35.77,22.05,23.75,31.68,33.85,20.2,18.97
"(1.329348987, 103.91158320000001)",31.02,52.27,68.28,45.75,33.0,20.63,28.55,30.72,17.07,21.4
"(1.333400122, 103.9325194)",30.07,52.93,61.33,41.32,24.17,22.9,30.82,32.98,19.37,16.93
"(1.335972774, 103.924883)",31.92,54.78,68.0,52.8,28.43,23.12,31.03,33.2,19.57,18.38
"(1.3357061190000001, 103.9363386)",32.03,54.9,66.93,43.28,25.23,23.43,31.35,33.52,19.88,17.25
"(1.3272757240000002, 103.92480359999999)",22.7,45.33,57.33,32.97,18.13,20.57,28.48,30.65,17.07,18.33
"(1.326237253, 103.94082759999999)",26.7,49.32,64.35,39.98,15.9,22.18,32.57,34.72,21.1,16.27
"(1.324058778, 103.9113038)",21.85,44.48,56.48,32.12,23.4,20.17,29.47,31.63,17.75,20.27
"(1.325477105, 103.9343482)",27.5,51.98,63.98,36.38,17.4,21.55,31.38,33.55,19.92,17.5
