,geometry
0,"POLYGON ((103.8076018628974 1.470354636780986, 103.8076018628974 1.470224110157253, 103.806633469029 1.469665007696636, 103.8060573538067 1.469997627975324, 103.806241543525 1.47005091012239, 103.8076018628974 1.470354636780986))"
1,"POLYGON ((103.8095386506342 1.470236934837818, 103.8095386506342 1.470224110157253, 103.8085702567658 1.469665007696636, 103.8076018628974 1.470224110157253, 103.8076018628974 1.470354636780989, 103.807634799024 1.47036199062736, 103.807962902861 1.47043377824897, 103.80828149753 1.47051513749737, 103.808619112238 1.47059171102113, 103.808785542696 1.47059649876025, 103.809161201606 1.47036200778224, 103.8095386506342 1.470236934837818))"
2,"POLYGON ((103.8114754383711 1.470255431056249, 103.8114754383711 1.470224110157253, 103.8105070445027 1.469665007696636, 103.8095386506343 1.470224110157253, 103.8095386506343 1.470236934837813, 103.80955112564 1.4702328010725, 103.809811872682 1.47028555175283, 103.810155030309 1.4701610236162, 103.810440340335 1.46999831622328, 103.810654322398 1.47000788929851, 103.810720893613 1.47005096028615, 103.81079222051 1.47007010367253, 103.810849283415 1.47003660482122, 103.811248714552 1.47018496241834, 103.8114754383711 1.470255431056249))"
3,"POLYGON ((103.8134122261079 1.470553262236743, 103.8134122261079 1.470224110157253, 103.8124438322395 1.469665007696636, 103.8114754383711 1.470224110157253, 103.8114754383711 1.470255431056253, 103.811895412813 1.47038596443821, 103.812242538423 1.47037639598259, 103.813074688388 1.47045775936773, 103.81333146609 1.47054390231541, 103.8134122261079 1.470553262236743))"
4,"POLYGON ((103.8153490138448 1.470696650761998, 103.8153490138448 1.470224110157253, 103.8143806199764 1.469665007696636, 103.813412226108 1.470224110157253, 103.813412226108 1.470553262236745, 103.814116065274 1.4706348357603, 103.8153490138448 1.470696650761998))"
5,"POLYGON ((103.8172858015816 1.470760352076961, 103.8172858015816 1.470224110157253, 103.8163174077132 1.469665007696636, 103.8153490138448 1.470224110157253, 103.8153490138448 1.470696650761999, 103.815357159171 1.47069705913536, 103.817021461113 1.47078321261787, 103.8172858015816 1.470760352076961))"
6,"POLYGON ((103.8192225893185 1.470288487082365, 103.8192225893185 1.470224110157253, 103.8182541954501 1.469665007696636, 103.8172858015817 1.470224110157253, 103.8172858015817 1.47076035207696, 103.817630120127 1.47073057491786, 103.818281577016 1.47056786907281, 103.8192225893185 1.470288487082365))"
7,"POLYGON ((103.8204087818177 1.469790753794716, 103.8201909831869 1.469665007696636, 103.8192225893185 1.470224110157253, 103.8192225893185 1.470288487082361, 103.819464967579 1.47021652615191, 103.820127398743 1.46992829870117, 103.8204087818177 1.469790753794716))"
8,"POLYGON ((103.8027598935552 1.468932553581595, 103.8027598935552 1.468546802775403, 103.8017914996868 1.467987700314786, 103.8014294191279 1.468196747622955, 103.801468250141 1.46823947562343, 103.801581385388 1.46839690791496, 103.802122565531 1.46861969012755, 103.802319713634 1.4687052465688, 103.802428719847 1.4687980647104, 103.8027598935552 1.468932553581595))"
9,"POLYGON ((103.8046966812921 1.469600026026353, 103.8046966812921 1.468546802775403, 103.8037282874237 1.467987700314786, 103.8027598935553 1.468546802775403, 103.8027598935553 1.4689325535816, 103.802887950264 1.46898455711261, 103.803176181566 1.46905705662287, 103.803349093613 1.46919233454354, 103.803805288661 1.46931258571714, 103.804174589339 1.46942190461803, 103.8046966812921 1.469600026026353))"
10,"POLYGON ((103.8060573538067 1.469997627975322, 103.806633469029 1.469665007696636, 103.806633469029 1.468546802775403, 103.8056650751605 1.467987700314786, 103.8046966812921 1.468546802775403, 103.8046966812921 1.469600026026358, 103.80481543475 1.46964054098361, 103.805025044704 1.46953199111982, 103.805134443867 1.46940152090955, 103.805320922114 1.46912348307411, 103.80550739619 1.46925141304775, 103.805364346791 1.46945936780498, 103.80526777495 1.4696160565881, 103.80533331416 1.46975419168937, 103.805447436651 1.4698211919838, 103.8060573538067 1.469997627975322))"
11,"POLYGON ((103.8076018628974 1.470224110157253, 103.8085702567658 1.469665007696636, 103.8085702567658 1.468546802775403, 103.8076018628974 1.467987700314786, 103.806633469029 1.468546802775403, 103.806633469029 1.469665007696636, 103.8076018628974 1.470224110157253))"
12,"POLYGON ((103.8095386506342 1.470224110157253, 103.8105070445027 1.469665007696636, 103.8105070445027 1.468546802775403, 103.8095386506342 1.467987700314786, 103.8085702567658 1.468546802775403, 103.8085702567658 1.469665007696636, 103.8095386506342 1.470224110157253))"
