hex_id,geometry
171,"POLYGON ((103.8163174077132 1.458482958484302, 103.8172858015816 1.457923856023685, 103.8172858015816 1.456805651102451, 103.8163174077132 1.456246548641835, 103.8153490138448 1.456805651102451, 103.8153490138448 1.457923856023685, 103.8163174077132 1.458482958484302))"
195,"POLYGON ((103.8134122261079 1.456805651102451, 103.8143806199764 1.456246548641835, 103.8143806199764 1.455128343720601, 103.8134122261079 1.454569241259984, 103.8124438322395 1.455128343720601, 103.8124438322395 1.456246548641835, 103.8134122261079 1.456805651102451))"
196,"POLYGON ((103.8153490138448 1.456805651102451, 103.8163174077132 1.456246548641835, 103.8163174077132 1.455128343720601, 103.8153490138448 1.454569241259984, 103.8143806199764 1.455128343720601, 103.8143806199764 1.456246548641835, 103.8153490138448 1.456805651102451))"
197,"POLYGON ((103.8172858015816 1.456805651102451, 103.8182541954501 1.456246548641835, 103.8182541954501 1.455128343720601, 103.8172858015816 1.454569241259984, 103.8163174077132 1.455128343720601, 103.8163174077132 1.456246548641835, 103.8172858015816 1.456805651102451))"
218,"POLYGON ((103.8163174077132 1.455128343720601, 103.8172858015816 1.454569241259984, 103.8172858015816 1.453451036338751, 103.8163174077132 1.452891933878134, 103.8153490138448 1.453451036338751, 103.8153490138448 1.454569241259984, 103.8163174077132 1.455128343720601))"
219,"POLYGON ((103.8182541954501 1.455128343720601, 103.8192225893185 1.454569241259984, 103.8192225893185 1.453451036338751, 103.8182541954501 1.452891933878134, 103.8172858015817 1.453451036338751, 103.8172858015817 1.454569241259984, 103.8182541954501 1.455128343720601))"
220,"POLYGON ((103.8201909831869 1.455128343720601, 103.8211593770554 1.454569241259984, 103.8211593770554 1.453451036338751, 103.8201909831869 1.452891933878134, 103.8192225893185 1.453451036338751, 103.8192225893185 1.454569241259984, 103.8201909831869 1.455128343720601))"
236,"POLYGON ((103.8134122261079 1.453451036338751, 103.8143806199764 1.452891933878134, 103.8143806199764 1.451773728956901, 103.8134122261079 1.451214626496284, 103.8124438322395 1.451773728956901, 103.8124438322395 1.452891933878134, 103.8134122261079 1.453451036338751))"
237,"POLYGON ((103.8153490138448 1.453451036338751, 103.8163174077132 1.452891933878134, 103.8163174077132 1.451773728956901, 103.8153490138448 1.451214626496284, 103.8143806199764 1.451773728956901, 103.8143806199764 1.452891933878134, 103.8153490138448 1.453451036338751))"
238,"POLYGON ((103.8172858015816 1.453451036338751, 103.8182541954501 1.452891933878134, 103.8182541954501 1.451773728956901, 103.8172858015816 1.451214626496284, 103.8163174077132 1.451773728956901, 103.8163174077132 1.452891933878134, 103.8172858015816 1.453451036338751))"
