Name,Description,geometry
kml_1,CENTRAL EXPRESSWAY,"LINESTRING Z (103.858333937416 1.3559533317473 0, 103.858215578815 1.355816304599 0, 103.858116866331 1.35575566979974 0, 103.857992826192 1.35571405765487 0, 103.85787572257 1.35572105501446 0, 103.85778107993 1.35577301170758 0, 103.857716551157 1.35585094776557 0, 103.857586091965 1.35610979081088 0)"
kml_2,CENTRAL EXPRESSWAY,"LINESTRING Z (103.857586091965 1.35610979081088 0, 103.857404406124 1.35688247969145 0, 103.857375904766 1.35727093700206 0, 103.857419882646 1.35766252359057 0, 103.857535269587 1.35832639998177 0)"
kml_3,CENTRAL EXPRESSWAY,"LINESTRING Z (103.860424415728 1.36816548664505 0, 103.860392435314 1.36741487286042 0, 103.860250572009 1.36678103724501 0, 103.8601611709 1.36623475976203 0)"
kml_4,CENTRAL EXPRESSWAY,"LINESTRING Z (103.85978033742 1.37228389603645 0, 103.860212438864 1.37132920819506 0, 103.860416760961 1.37074031015235 0, 103.860574644315 1.37010467508207 0, 103.860676798636 1.36926339365 0, 103.860704652698 1.36848754562149 0, 103.860543980027 1.36726338018458 0)"
kml_5,CENTRAL EXPRESSWAY,"LINESTRING Z (103.859369200799 1.36913452283533 0, 103.859823634267 1.3691032747563 0, 103.860066882404 1.3690084286533 0, 103.860187883687 1.3689143887907 0, 103.860276790444 1.36879392195465 0, 103.860330695128 1.3686667867305 0, 103.860424415728 1.36816548664505 0)"
kml_6,CENTRAL EXPRESSWAY,"LINESTRING Z (103.860451559183 1.36931758934421 0, 103.860440594095 1.36917206460974 0, 103.860424415728 1.36816548664505 0)"
kml_7,CENTRAL EXPRESSWAY,"LINESTRING Z (103.858937366151 1.37666399773765 0, 103.85870132841 1.37762417001705 0)"
kml_8,CENTRAL EXPRESSWAY,"LINESTRING Z (103.859737263886 1.37689912906148 0, 103.859354248586 1.376945560641 0, 103.859212595333 1.37698993572353 0, 103.859083126094 1.37705944475344 0, 103.858924495338 1.37720189739014 0, 103.85870132841 1.37762417001705 0)"
kml_9,CENTRAL EXPRESSWAY,"LINESTRING Z (103.85870132841 1.37762417001705 0, 103.85849960493 1.37847176123048 0, 103.858448488781 1.379253321395 0, 103.858378399984 1.3798509530839 0)"
kml_10,CENTRAL EXPRESSWAY,"LINESTRING Z (103.857827864162 1.3899860252144 0, 103.858110912759 1.38844975731936 0)"
kml_11,CENTRAL EXPRESSWAY,"LINESTRING Z (103.857897246357 1.39071095004824 0, 103.85806849342 1.38972651361781 0)"
kml_12,CENTRAL EXPRESSWAY,"LINESTRING Z (103.857897246357 1.39071095004824 0, 103.8578627158 1.39062421737588 0, 103.857818921554 1.3904258727108 0, 103.857827864162 1.3899860252144 0)"
kml_13,CENTRAL EXPRESSWAY,"LINESTRING Z (103.856671578357 1.39141678433829 0, 103.857152885555 1.39122339390781 0, 103.857299916337 1.39113490943146 0, 103.857436133329 1.39101808319238 0, 103.857554518305 1.39084075698382 0, 103.857629493992 1.3906769776884 0, 103.857753680245 1.39015838511435 0, 103.857827864162 1.3899860252144 0)"
kml_14,CENTRAL EXPRESSWAY,"LINESTRING Z (103.858111700923 1.39113328760861 0, 103.857935324595 1.39080659519042 0, 103.857897246357 1.39071095004824 0)"
kml_15,CENTRAL EXPRESSWAY,"LINESTRING Z (103.855159897177 1.40173659707729 0, 103.855430098149 1.40144510083498 0, 103.855673788786 1.40112207054864 0, 103.855834267586 1.40085287873451 0, 103.855965027093 1.40053583187387 0, 103.856054180836 1.40026065927288 0, 103.856066066192 1.39996155795223 0, 103.856024457153 1.39975218905139 0, 103.855923410649 1.39945907209891 0, 103.855715373887 1.39890274736045 0, 103.855667822413 1.39867543230841 0, 103.855661875704 1.3984959721823 0, 103.855679705896 1.3982686546941 0, 103.855733197337 1.39805928487128 0, 103.85579857672 1.39791571555307 0, 103.856256237428 1.39698850105576 0, 103.856369164694 1.39670734583578 0, 103.856915977882 1.39554085007888 0, 103.857100230194 1.39512210777828 0, 103.857272593206 1.39460167165938 0, 103.857427124782 1.39399748798457 0, 103.857516274644 1.39338134114242 0, 103.85762325084 1.39227466886729 0, 103.857831268576 1.39109023016561 0, 103.857897246357 1.39071095004824 0)"
kml_16,CHANGI COAST ROAD,"LINESTRING Z (103.971489908351 1.32369026469379 0, 103.971707567863 1.32375418182984 0)"
kml_17,CHANGI NORTH CRESCENT,"LINESTRING Z (103.968919426297 1.34410852858512 0, 103.968843164669 1.34462855723547 0)"
kml_18,CHANGI NORTH CRESCENT,"LINESTRING Z (103.968754948555 1.34493598734018 0, 103.968683178957 1.3452146641462 0, 103.96855386658 1.34547783073656 0)"
kml_19,CHANGI SOUTH AVENUE 3,"LINESTRING Z (103.971127281015 1.34088120701498 0, 103.971203829847 1.3407180006302 0, 103.97130678883 1.34042236161167 0, 103.971325151669 1.3401321408981 0, 103.971288319764 1.33984192421667 0, 103.971143037352 1.33943680093013 0)"
kml_20,CHIN SWEE ROAD,"LINESTRING Z (103.837800603693 1.28570744444278 0, 103.837476604188 1.28548243267407 0, 103.837295129289 1.28523077986351 0, 103.837091242065 1.28492172974501 0, 103.836935776378 1.28467438435887 0, 103.836764909845 1.28449666784681 0)"
kml_21,CHOA CHU KANG DRIVE,"LINESTRING Z (103.741790525951 1.38613488963764 0, 103.742080239814 1.38635394303608 0)"
kml_22,CHOA CHU KANG DRIVE,"LINESTRING Z (103.742159862073 1.38535679275054 0, 103.74198902542 1.38597888387934 0, 103.741980181363 1.38610340527863 0, 103.742080239814 1.38635394303608 0)"
kml_23,CHOA CHU KANG DRIVE,"LINESTRING Z (103.745278217239 1.38872415000427 0, 103.745545958008 1.38869841913936 0, 103.745666810196 1.38862647162174 0, 103.745712748347 1.38857136868438 0, 103.745978276918 1.38800387535997 0)"
kml_24,CHOA CHU KANG DRIVE,"LINESTRING Z (103.742080239814 1.38635394303608 0, 103.743240985074 1.38745565658513 0, 103.744071291582 1.38808031010632 0, 103.745278217239 1.38872415000427 0)"
kml_25,CHOA CHU KANG DRIVE,"LINESTRING Z (103.745278217239 1.38872415000427 0, 103.745779243274 1.38885684331817 0)"
kml_26,CHOA CHU KANG DRIVE,"LINESTRING Z (103.745864509731 1.38994164538156 0, 103.745476721073 1.38981278176925 0)"
kml_27,CHOA CHU KANG DRIVE,"LINESTRING Z (103.749608489677 1.38976353556826 0, 103.748351585067 1.38995222374994 0, 103.746994001343 1.39008305905363 0, 103.746634760685 1.39006892689248 0, 103.746121560836 1.38999838293048 0, 103.745864509731 1.38994164538156 0)"
kml_28,CHOA CHU KANG DRIVE,"LINESTRING Z (103.745864509731 1.38994164538156 0, 103.745655965427 1.38998744178073 0, 103.745520868844 1.39011025285139 0, 103.74519994199 1.3906463119689 0)"
kml_29,LORNIE HIGHWAY,"LINESTRING Z (103.817510999261 1.33219151506609 0, 103.817303154585 1.33240336201024 0, 103.817204898077 1.3325791671165 0, 103.817161227762 1.33278793485799 0, 103.817177602884 1.33295275268814 0, 103.81725948079 1.33315053503612 0, 103.817360287921 1.3333155406214 0, 103.817455384005 1.33345432411601 0, 103.817640823262 1.33366489212225 0, 103.817921357664 1.33403338537033 0)"
kml_30,LORNIE HIGHWAY,"LINESTRING Z (103.822048025073 1.33669498435499 0, 103.82167001317 1.33654064644225 0, 103.821420381827 1.33640066588785 0, 103.821063766774 1.33618531232062 0, 103.820631285886 1.33592259945128 0, 103.819846733121 1.3354883013155 0, 103.819497250788 1.33532678528406 0, 103.819292817742 1.33523876955397 0, 103.818511832297 1.33487266733186 0, 103.81815878291 1.33470397224287 0, 103.817912455095 1.33455677181034 0, 103.81782211282 1.33448020140806 0, 103.817460745168 1.33409734993499 0)"
kml_31,TAMPINES AVENUE 10,"LINESTRING Z (103.9285309104 1.37712450429328 0, 103.929798661563 1.37643664790599 0, 103.930687499669 1.37590218461979 0, 103.931087169561 1.37563103836293 0, 103.93127170333 1.37546673061608 0, 103.931317491434 1.37539117643814 0, 103.931374764867 1.37513445166639 0, 103.93136000109 1.3749079129833 0, 103.931337934557 1.37456933669633 0)"
kml_32,XILIN AVENUE,"LINESTRING Z (103.97047489292 1.32254844042916 0, 103.971489908351 1.32369026469379 0, 103.972406281102 1.32506181459982 0, 103.972485383805 1.3251680401005 0, 103.972675526616 1.32535143213509 0, 103.972955759961 1.3255177175581 0, 103.973152376117 1.32555905924774 0, 103.973352605721 1.32554296288228 0, 103.973451396633 1.32550521281112 0, 103.97361091127 1.32539689824788 0, 103.973726175858 1.32524115694079 0, 103.973776481331 1.32506705626832 0, 103.973780506217 1.32497620113027 0, 103.973728737677 1.32477916533146 0, 103.973610591196 1.32459482331842 0, 103.973448893165 1.32444781854809 0, 103.973266733617 1.32435364865481 0, 103.972934217266 1.32425087232059 0, 103.972589443362 1.32420456137354 0)"
kml_33,XILIN AVENUE,"LINESTRING Z (103.972296683432 1.32650380419848 0, 103.972004268436 1.32667822509799 0, 103.971723616277 1.32677064771057 0, 103.971411023007 1.32677735666021 0, 103.971112629938 1.32669365932495 0, 103.97045403717 1.32630159100271 0)"
kml_34,XILIN AVENUE,"LINESTRING Z (103.974385848971 1.3287130141118 0, 103.973935612111 1.32820375488933 0, 103.973017089162 1.32690267199347 0, 103.972801906714 1.32672752739529 0, 103.972547157605 1.32666742708689 0, 103.97236498433 1.32668406227994 0, 103.971876404238 1.32686732715475 0, 103.971644539733 1.32692562543421 0, 103.971454090274 1.32691725541968 0, 103.971222249816 1.32684220277338 0, 103.97045403717 1.32630159100271 0)"
kml_35,XILIN AVENUE,"LINESTRING Z (103.97045403717 1.32630159100271 0, 103.970137930683 1.32611340815656 0, 103.970020652751 1.32606691509401 0, 103.969847455055 1.32603322456507 0, 103.96961073483 1.32602662409068 0, 103.969382156615 1.32605722317166 0, 103.969258857432 1.32610830383478 0, 103.96855348218 1.32651476031651 0)"
kml_36,CHOA CHU KANG WAY,"LINESTRING Z (103.74141454784 1.38585060837157 0, 103.741572977061 1.38583688180077 0, 103.741711701964 1.3857857382418 0, 103.742159862073 1.38535679275054 0)"
kml_37,CHOA CHU KANG WAY,"LINESTRING Z (103.738830542424 1.38412044076177 0, 103.739457332119 1.38451288336782 0, 103.740190393626 1.38504725080124 0, 103.74141454784 1.38585060837157 0)"
kml_38,CHOA CHU KANG WAY,"LINESTRING Z (103.74141454784 1.38585060837157 0, 103.741790525951 1.38613488963764 0)"
kml_39,CHOA CHU KANG WAY,"LINESTRING Z (103.741698797002 1.38736505125818 0, 103.741354897943 1.38705559556624 0)"
kml_40,CHOA CHU KANG WAY,"LINESTRING Z (103.744976949615 1.38964670567385 0, 103.743809264765 1.38894622412755 0, 103.741698797002 1.38736505125818 0)"
kml_41,CHOA CHU KANG WAY,"LINESTRING Z (103.741698797002 1.38736505125818 0, 103.741493239604 1.38736768307381 0, 103.741415918567 1.3874010266287 0, 103.741338594443 1.38746772127878 0, 103.740876769075 1.3880831981283 0)"
kml_42,CHOA CHU KANG WAY,"LINESTRING Z (103.745476721073 1.38981278176925 0, 103.744976949615 1.38964670567385 0)"
