address,storey_range,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,sold_year,sold_month,latitude,longitude,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive,mrt_dist,near_bus_itc,near_mrt_itc,bus_u300m,bus_dist,mall_u1km,mall_dist,pri_u1km,pri_u2km,pri_aff_u1km,pri_aff_u2km,pri_elite_u1km,pri_elite_u2km,sec_u1km,sec_u2km,sec_aff_u1km,sec_aff_u2km,sec_elite_u1km,sec_elite_u2km,dist_to_highway,dist_to_exits,price_per_sqft,unit_price,elem_price,hex_id,town,town_min_unit_price,town_max_unit_price,appeal_score
1 BEACH RD,8.0,68.6,1979.0,60.084,343200.0,2018.2,5.7,1.303671351,103.86447870000003,12.480000000000002,32.980000000000004,48.10000000000001,18.5,33.38,8.78,20.95,27.6,9.8,25.98,403.0,0.0,0.0,6.0,51.0,4.0,676.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,936.0,819.0,5004.491255961844,83.24889433179081,13.636091383196113,8181.0,KALLANG/WHAMPOA,62.7371318203751,116.18999089089591,0.38373555443225904
1 BEDOK STH AVE 1,7.5,61.0,1976.0,56.5225,287666.66666666674,2018.083333333333,5.916666666666668,1.3208520870000002,103.93372109999996,30.75,55.23000000000001,67.27999999999999,39.63,20.7,19.28,30.17000000000001,33.62,20.6,16.270000000000003,590.0,0.0,0.0,4.0,171.0,4.0,463.0,1.0,8.0,0.0,0.0,0.0,3.0,1.0,10.0,0.0,1.0,0.0,1.0,1151.0,975.0,4706.551985833545,83.20068805313036,15.24992638761062,6856.0,BEDOK,51.11977742401701,99.51279256079034,0.6629244021775245
1 CHAI CHEE RD,6.5,127.5,1983.0,63.75,516666.66666666674,2018.5,5.333333333333333,1.327968792,103.92271600000002,26.6,49.22,61.07999999999999,36.22,20.73,21.77,29.7,31.87,18.23,19.45,867.0,0.0,0.0,7.0,44.0,3.0,795.0,2.0,8.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,530.0,246.0,4058.577047207605,63.67174047378547,11.337489139758606,6741.0,BEDOK,51.11977742401701,99.51279256079034,0.25937551140991744
1 DELTA AVE,9.5,119.0,1983.0,63.93166666666667,782333.3333333335,2018.0,7.0,1.292075251,103.82858409999999,15.57,24.15,35.77,25.9,49.22,7.88,13.1,22.52,8.47,33.03,723.0,0.0,0.0,6.0,163.0,2.0,390.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1078.0,1082.0,6574.229691876751,102.94124737278506,21.713072264130396,9405.0,BUKIT MERAH,61.931118440609815,155.90058143249632,0.4364197434619386
1 DOVER RD,7.625,67.0,1975.0,56.5,338350.0,2017.5,7.125,1.302525747,103.78327320000002,20.12,18.3,26.45,25.020000000000003,53.77,14.72,3.3000000000000003,16.27,17.819999999999997,37.77,559.0,0.0,0.0,3.0,50.0,3.0,467.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,440.0,526.0,5049.430979978925,89.33072535975808,15.673102251540605,8370.0,QUEENSTOWN,68.01878290104968,119.67382701379316,0.4125820202997498
1 EVERTON PK,7.0,94.0,1980.0,61.91333333333333,541666.6666666665,2017.666666666667,4.0,1.277426543,103.8400012,8.47,23.98,34.7,18.83,42.12,6.22,14.72,23.12,11.48,30.55,488.0,0.0,1.0,7.0,98.0,3.0,498.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,484.0,681.0,5862.520128824476,94.68470468352292,15.740621051567528,9558.0,BUKIT MERAH,61.931118440609815,155.90058143249632,0.34855563924783856
1 GHIM MOH RD,7.7857142857142865,66.57142857142857,1976.0,57.138571428571424,329876.85714285716,2018.0,5.785714285714287,1.3128797569999997,103.78685500000003,24.07999999999999,16.97,30.680000000000003,29.82,57.73000000000001,17.47,5.200000000000001,17.020000000000003,16.63,40.25,760.0,0.0,0.0,4.0,128.0,3.0,679.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1514.0,1597.0,4961.483632157317,86.75977192661342,16.889070535349607,8280.0,QUEENSTOWN,68.01878290104968,119.67382701379316,0.362810435020813
1 HAIG RD,8.9,59.9,1982.0,63.1,309300.0,2018.3,6.6,1.3112909120000005,103.89770339999998,23.920000000000005,48.17000000000001,58.0,32.029999999999994,34.93,14.98,25.88000000000001,28.88000000000001,15.25,20.5,974.0,0.0,0.0,3.0,221.0,4.0,521.0,2.0,7.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1273.0,1183.0,5162.28813559322,81.81656811870505,12.786120910245971,7890.0,GEYLANG,56.60567349092167,112.03927730253292,0.45479443684487003
1 HOUGANG AVE 3,9.3125,61.0625,1975.0,55.69250000000001,230312.5,2018.4375,5.6875,1.3641309730000006,103.89300129999998,27.37,47.22000000000001,60.62,32.07,44.38,21.32,29.62,32.17000000000001,17.78,25.38,870.0,0.0,0.0,4.0,47.0,2.0,744.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,1110.0,669.0,3772.926755447942,67.69564122938714,9.10012750229607,3732.0,HOUGANG,41.786204315828854,81.1839872703508,0.6576369270186175
1 JLN BT MERAH,8.0,64.0,1983.0,63.01333333333333,306833.33333333326,2018.833333333333,6.166666666666668,1.28645354,103.80824240000004,22.9,23.12,33.03,26.77,50.55,11.65,9.93,19.1,13.0,34.27,897.0,0.0,0.0,5.0,19.0,3.0,333.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,272.0,630.0,4794.270833333333,75.99974027447455,14.287482089417553,9445.0,BUKIT MERAH,61.931118440609815,155.90058143249632,0.14971482634820893
