name,latitude,longitude
Hotel Grand Pacific,1.29684825487647,103.85253591654006
St. Joseph's Ch,1.29770970610083,103.8532247463225
Bras Basah Cplx,1.2969895119133201,103.85302201172509
Opp Natl Lib,1.2966729849642,103.8544142246427
Bugis Cube,1.29820784139683,103.85549139837408
Bugis Stn Exit B,1.30075679526626,103.85611040457584
Queen St Ter,1.30358577565355,103.85650372998224
Opp Bugis Junction,1.30009212839081,103.85520027125814
Bugis Stn Exit A,1.30117297541547,103.8561140106393
Bugis Junction,1.2996041093803998,103.85512934079573
Stamford Pr Sch,1.30393809691048,103.85867999243207
Opp Stamford Pr Sch,1.30350269187301,103.85864530718493
Parkview Sq,1.30033057855542,103.857160806659
Opp Blk 461,1.30551803523268,103.8605449516032
Blk 461,1.30526598535719,103.86072019914616
Bef Sultan Mque,1.30337552638813,103.85963089198263
Opp Textile Ctr,1.3032499999752,103.8610830559663
Sultan Plaza,1.30291236608351,103.86161817611134
Lavender Stn Exit B,1.3070916463394,103.86219695240972
Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476
Blk 8,1.30495670239172,103.86363028484124
Bef Crawford Bridge,1.30774601733202,103.8642627465441
Southbank,1.3064755560057801,103.86452527798744
Opp Blk 4,1.30568635716829,103.86543994417885
Opp St. John HQ,1.30211332865049,103.86295598167332
St. John HQ,1.3020199999911002,103.86326333301204
Opp Golden Mile Cplx,1.30338444400173,103.8648388889864
Golden Mile Cplx,1.3032136089394,103.86501584807765
Opp The Gateway,1.2991982610380701,103.85864518302436
The Gateway,1.29907492488417,103.8589102973441
Opp Plaza Parkroyal,1.30088304437602,103.86066098182194
Plaza Parkroyal,1.3004166767652598,103.86044115259938
Bugis Stn Exit D,1.2988646544225402,103.85734583628746
Opp Duo Residences,1.30069868861162,103.85873120467069
Landmark Village Hotel,1.3016873107056202,103.85752923961614
Aft Raffles Hotel,1.2952725917134198,103.85533686181174
Esplanade Stn Exit F,1.2942869417824598,103.8550380942423
Opp Shaw Twrs,1.29695888888745,103.85655611109846
Shaw Twrs,1.2969597221995801,103.85686527780176
Aft Beach Rd,1.29693614589482,103.85580555528077
Bef Beach Rd,1.29738750001468,103.85557583297623
Opp S'pore Cricket Club,1.2887901514247602,103.85293318066765
Raffles Hotel,1.29452091230981,103.85402155505173
The Float @ Marina Bay,1.2895030556081999,103.85903388899315
The Esplanade,1.2899638888957,103.85640388886263
Pan Pacific Hotel,1.2915269444497501,103.85920611105041
Marina Ctr Ter,1.29147264805943,103.86148558380779
AFT S'PORE FLYER,1.28938483786533,103.86183148116275
Esplanade Bridge,1.2909559234838899,103.85453419435228
Opp War Memorial Pk,1.29184407356581,103.85534334305085
Suntec Twr Two,1.2957657160303702,103.85933814632858
Suntec Twr Three,1.29560459817725,103.85955533029184
Suntec Convention Ctr,1.2931777632081398,103.85784623004032
Opp Suntec Convention Ctr,1.29360811227161,103.85840672828637
